"Key";"Type";"Desc";"English";"Українська [uk]"
"Item/Cassette_TradingPost";"Text";"";"Trading post cassette@#1 Bargain Bossa";"Trading post cassette@#1 Bargain Bossa"
"Item/CatfishDeluxe";"Text";"";"Catfish deluxe@Makes you run faster.";"Catfish deluxe@Makes you run faster."
"Item/CaveMushroom";"Text";"";"Cave mushroom@Great addition to many meals.";"Cave mushroom@Great addition to many meals."
"Item/Chili";"Text";"";"Chili@Spice up your food.";"Chili@Spice up your food."
"Item/CircuitBoard";"Text";"";"Circuit board@Commonly used for electrical machines.";"Circuit board@Commonly used for electrical machines."
"Item/Clay";"Text";"";"Clay@Plain old clay.";"Clay@Plain old clay."
"Item/ClayBowl";"Text";"";"Clay bowl@A very good bowl.";"Clay bowl@A very good bowl."
"Item/Coconut";"Text";"";"Coconut@Soothes thirst and some hunger.";"Coconut@Soothes thirst and some hunger."
"Item/CoconutBeat";"Text";"";"Coconut beat@Something sweet for the child in you.";"Coconut beat@Something sweet for the child in you."
"Item/CoconutChicken";"Text";"";"Coconut chicken@Yummy chicken cooked in coconut milk.";"Coconut chicken@Yummy chicken cooked in coconut milk."
"Item/Color_Black";"Text";"";"Black paint@Used together with the paint brush.";"Black paint@Used together with the paint brush."
"Item/Color_Blue";"Text";"";"Blue paint@Used together with the paint brush.";"Blue paint@Used together with the paint brush."
"Item/Color_Red";"Text";"";"Red paint@Used together with the paint brush.";"Red paint@Used together with the paint brush."
"Item/Color_White";"Text";"";"White paint@Used together with the paint brush.";"White paint@Used together with the paint brush."
"Item/Color_Yellow";"Text";"";"Yellow paint@Used together with the paint brush.";"Yellow paint@Used together with the paint brush."
"Item/Compass";"Text";"";"Compass@Points relatively north.";"Compass@Points relatively north."
"Item/Cooked_Beet";"Text";"";"Cooked beet@A healthy little meal.";"Cooked beet@A healthy little meal."
"Item/Cooked_Catfish";"Text";"";"Cooked catfish@A solid meal.";"Cooked catfish@A solid meal."
"Item/Cooked_Drumstick";"Text";"";"Cooked drumstick@Full of protein.";"Cooked drumstick@Full of protein."
"Item/Cooked_GenericMeat";"Text";"";"Cooked meat@Tender and juicy meat.";"Cooked meat@Tender and juicy meat."
"Item/Cooked_Herring";"Text";"";"Cooked  herring@Nice little snack.";"Cooked  herring@Nice little snack."
"Item/Cooked_Mackerel";"Text";"";"Cooked mackerel@Fish is part of any healthy diet.";"Cooked mackerel@Fish is part of any healthy diet."
"Item/Cooked_Pomfret";"Text";"";"Cooked pomfret@Nice little snack.";"Cooked pomfret@Nice little snack."
"Item/Cooked_Potato";"Text";"";"Cooked potato@Nice little snack.";"Cooked potato@Nice little snack."
"Item/Cooked_Salmon";"Text";"";"Cooked salmon@A solid meal.";"Cooked salmon@A solid meal."
"Item/Cooked_Shark";"Text";"";"Cooked shark@A solid meal.";"Cooked shark@A solid meal."
"Item/Cooked_Tilapia";"Text";"";"Cooked tilapia@Fish is part of any healthy diet.";"Cooked tilapia@Fish is part of any healthy diet."
"Item/CopperIngot";"Text";"";"Copper Ingot@Commonly used for electrical components.";"Copper Ingot@Commonly used for electrical components."
"Item/CopperOre";"Text";"";"Copper@Can be smelted into copper ingot.";"Copper@Can be smelted into copper ingot."
"Item/Crate";"Text";"";"Crate";"Ящик"
"Item/DevSpear";"Text";"";"OP weapon@Cuts sushi like a boss.";"OP weapon@Cuts sushi like a boss."
"Item/Dirt";"Text";"";"Dirt@Looks dirty.";"Багнюка@На вигляд брудна."
"Item/DrinkingGlass";"Text";"";"Drinking glass@Perfect for juice!";"Drinking glass@Perfect for juice!"
"Item/DrumstickWithJam";"Text";"";"Drumstick with jam@... who came up with this recipe?";"Drumstick with jam@... who came up with this recipe?"
"Item/Egg";"Text";"";"Egg@Generally used for cooking.";"Egg@Generally used for cooking."
"Item/ExplosiveGoo";"Text";"";"Explosive goo@Can be dried in a smelter.";"Explosive goo@Can be dried in a smelter."
"Item/ExplosivePowder";"Text";"";"Explosive powder@Handle with care.";"Explosive powder@Handle with care."
"Item/Feather";"Text";"";"Feather@It's from a bird.";"Перо@Із дупці пташки."
"Item/FishStew";"Text";"";"Fish stew@A sturdier and tastier fish stew.";"Fish stew@A sturdier and tastier fish stew."
"Item/FishingBait_Advanced";"Text";"";"Advanced fishing bait@Has a peculiar look! Used by advanced anglers.";"Advanced fishing bait@Has a peculiar look! Used by advanced anglers."
"Item/FishingBait_Expert";"Text";"";"Expert fishing bait@Glorius sheen! Used by expert anglers.";"Expert fishing bait@Glorius sheen! Used by expert anglers."
"Item/FishingBait_Simple";"Text";"";"Simple fishing bait@Simple and efficient! Used by novice anglers.";"Simple fishing bait@Simple and efficient! Used by novice anglers."
"Item/FishingRod";"Text";"";"Fishing rod@Get some fish!";"Вудка@Спіймай трошки рибки!"
"Item/FishingRod_Metal";"Text";"";"Metal fishing rod@Sturdier and a bit more professional.";"Металева вудка@Міцніша та трохи професійніша."
"Item/Flipper";"Text";"";"Flippers@Increases your speed underwater.";"Flippers@Increases your speed underwater."
"Item/Flower_Black";"Text";"";"Black flower@Can be made into paint.";"Black flower@Can be made into paint."
"Item/Flower_Blue";"Text";"";"Blue flower@Can be made into paint.";"Blue flower@Can be made into paint."
"Item/Flower_Red";"Text";"";"Red flower@Can be made into paint.";"Red flower@Can be made into paint."
"Item/Flower_White";"Text";"";"White flower@Can be made into paint.";"White flower@Can be made into paint."
"Item/Flower_Yellow";"Text";"";"Yellow flower@Can be made into paint.";"Yellow flower@Can be made into paint."
"Item/Foamspitter";"Text";"";"Foamspitter@Tier 2. Time for bubbles.";"Foamspitter@Tier 2. Time for bubbles."
"Item/FruitCompot";"Text";"";"Fruit compot@Tastes extra good when you are tired of chewing meat.";"Fruit compot@Tastes extra good when you are tired of chewing meat."
"Item/GiantClam";"Text";"";"Giant clam@A big clam.";"Giant clam@A big clam."
"Item/Glass";"Text";"";"Glass@It's transparent.";"Скло@Воно прозоре."
"Item/GlowShrimp";"Text";"";"GlowShrimp@Tier 1. Glows less than you might think.";"GlowShrimp@Tier 1. Glows less than you might think."
"Item/Hammer";"Text";"";"Building Hammer@Useful for expanding your raft.";"Building Hammer@Useful for expanding your raft."
"Item/Hat_Captain";"Text";"";"Captain's hat@Once belonged to a great captain.";"Captain's hat@Once belonged to a great captain."
"Item/Hat_Chef";"Text";"";"Chef's hat@If you prefer cooking to sailing.";"Chef's hat@If you prefer cooking to sailing."
"Item/Hat_Construction";"Text";"";"Construction helmet@Left behind by a construction worker.";"Construction helmet@Left behind by a construction worker."
"Item/Hat_Dev";"Text";"";"Developer hat@";"Developer hat@"
"Item/Hat_Diving";"Text";"";"Diving helmet@Somewhat airtight.";"Diving helmet@Somewhat airtight."
"Item/Hat_Fishing";"Text";"";"Fishing hat@Lures for any occasion.";"Fishing hat@Lures for any occasion."
"Item/Hat_Glasses_Aviator";"Text";"";"Sunglasses@For those sunny days.";"Sunglasses@For those sunny days."
"Item/Hat_Glasses_Disguise";"Text";"";"Disguise glasses@It might fool your friends, but it can't fool the shark.";"Disguise glasses@It might fool your friends, but it can't fool the shark."
"Item/Hat_Mayor";"Text";"";"Mayor hat@Belonged to the mayor of Caravan Town.";"Mayor hat@Belonged to the mayor of Caravan Town."
"Item/Hat_Pilot";"Text";"";"Pilot helmet@An old but fancy pilot helmet.";"Pilot helmet@An old but fancy pilot helmet."
"Item/Hat_Pirate";"Text";"";"Pirate hat@Ahoy, set sail!";"Pirate hat@Ahoy, set sail!"
"Item/Hat_Sailor";"Text";"";"Sailor hat@A true hat for a true sailor.";"Sailor hat@A true hat for a true sailor."
"Item/Hat_Tiki";"Text";"";"Tiki mask@Mysterious wooden mask.";"Tiki mask@Mysterious wooden mask."
"Item/HeadBroth";"Text";"";"Head broth@A tad scary but nutritious broth.";"Head broth@A tad scary but nutritious broth."
"Item/HeadLight";"Text";"";"Head light@Useful when exploring dark places.";"Head light@Useful when exploring dark places."
"Item/HeadLight_Advanced";"Text";"";"Advanced head light@Reliable and excellent battery lifetime.";"Advanced head light@Reliable and excellent battery lifetime."
"Item/HealingSalve";"Text";"";"Healing salve@Soothes and restores your wounds.";"Healing salve@Soothes and restores your wounds."
"Item/HealingSalve_Good";"Text";"";"Good healing salve@Soothes and restores your wounds.";"Good healing salve@Soothes and restores your wounds."
"Item/HeartyStew";"Text";"";"Hearty stew@A mysterious stew that lets you evade death, once.";"Hearty stew@A mysterious stew that lets you evade death, once."
"Item/Hinge";"Text";"";"Hinge@It's two metal plates... That bend.";"Hinge@It's two metal plates... That bend."
"Item/Honey";"Text";"";"Honey@Tastes yummy and can be used to create biofuel.";"Honey@Tastes yummy and can be used to create biofuel."
"Item/HoneyComb";"Text";"";"Honeycomb@Can be used to create honey jars.";"Honeycomb@Can be used to create honey jars."
"Item/Hook_Plastic";"Text";"";"Plastic hook@Use this amazing item to catch debris floating by in the ocean!";"Plastic hook@Use this amazing item to catch debris floating by in the ocean!"
"Item/Hook_Scrap";"Text";"";"Scrap hook@This is basically the same as the plastic hook but better. It's faster, more durable and can be thrown farther.";"Scrap hook@This is basically the same as the plastic hook but better. It's faster, more durable and can be thrown farther."
"Item/Hook_Titanium";"Text";"";"Titanium hook@The ultimate hook for any rafter.";"Titanium hook@The ultimate hook for any rafter."
"Item/HyenaBossHead";"Text";"";"Alpha's head@It was tough, but you beat it!";"Alpha's head@It was tough, but you beat it!"
"Item/HyenaHead";"Text";"";"Hyena head@Looks good on a trophy board.";"Hyena head@Looks good on a trophy board."
"Item/Item";"Text";"";"Item";"Предмет"
"Item/Juniper";"Text";"";"Juniper@A life changing berry.";"Juniper@A life changing berry."
"Item/Leather";"Text";"";"Leather@Tanned hide.";"Leather@Tanned hide."
"Item/LeatherChest";"Text";"";"Leather body armor@Protects your upper body.";"Leather body armor@Protects your upper body."
"Item/LeatherHelmet";"Text";"";"Leather helmet@Protects your precious brain.";"Leather helmet@Protects your precious brain."
"Item/LeatherLegs";"Text";"";"Leather greaves@Reduces wood splinters.";"Leather greaves@Reduces wood splinters."
"Item/Leftover";"Text";"";"Leftovers@This meal did not turn out very well.";"Leftovers@This meal did not turn out very well."
"Item/LionFish";"Text";"";"LionFish@Tier 3. Toxic and pointy.";"LionFish@Tier 3. Toxic and pointy."
"Item/Lunarfish";"Text";"";"Lunarfish@Tier 3. Reminiscent of the moon.";"Lunarfish@Tier 3. Reminiscent of the moon."
"Item/Machete";"Text";"";"Machete@Sharp enough to cut through vegetation.";"Machete@Sharp enough to cut through vegetation."
"Item/MamaBearHead";"Text";"";"Mama bear head@She was tough but not immortal!";"Mama bear head@She was tough but not immortal!"
"Item/Mango";"Text";"";"Mango@Quenches thirst and soothes hunger.";"Mango@Quenches thirst and soothes hunger."
"Item/Mangonana";"Text";"";"Mangonana@Mango or banan? Take both!";"Mangonana@Mango or banan? Take both!"
"Item/MetalDetector";"Text";"";"Metal detector@Helpful for finding precious metal. Bring a shovel!";"Metal detector@Helpful for finding precious metal. Bring a shovel!"
"Item/MetalIngot";"Text";"";"Metal ingot@It's shiny.";"Metal ingot@It's shiny."
"Item/MetalOre";"Text";"";"Metal ore@Could be smelted into something better.";"Metal ore@Could be smelted into something better."
"Item/MushroomOmelette";"Text";"";"Mushroom omelette@A favorite of the breakfast community.";"Mushroom omelette@A favorite of the breakfast community."
"Item/Nail";"Text";"";"Nail@Good for putting things together.";"Nail@Good for putting things together."
"Item/Nametag";"Text";"";"Nametag@In memory of...";"Nametag@In memory of..."
"Item/NetCanister";"Text";"";"Net canister@Used together with the net launcher.";"Net canister@Used together with the net launcher."
"Item/NetGun";"Text";"";"Net launcher@Aim at an animal to catch it.";"Net launcher@Aim at an animal to catch it."
"Item/NetNibbler";"Text";"";"Netnibbler@Tier 1. Better here than on one of the nets.";"Netnibbler@Tier 1. Better here than on one of the nets."
"Item/Note";"Text";"";"Note@";"Записка@"
"Item/OxygenBubble";"Text";"";"Oxygen bubble@A breath of fresh air.";"Oxygen bubble@A breath of fresh air."
"Item/Package";"Text";"";"Decoration package@It's the inside that matters.";"Decoration package@It's the inside that matters."
"Item/Paddle";"Text";"";"Paddle@Has your raft gotten stuck? This will help!";"Paddle@Has your raft gotten stuck? This will help!"
"Item/PaintBrush";"Text";"";"Paint brush@Turn your raft into a colorful home!";"Paint brush@Turn your raft into a colorful home!"
"Item/Pebbles";"Text";"";"Pebble@A smaller stone, perfectly shaped for throwing.";"Pebble@A smaller stone, perfectly shaped for throwing."
"Item/Pentapus";"Text";"";"Pentapus@Tier 3. Two of these, and you have a Tentapus.";"Pentapus@Tier 3. Two of these, and you have a Tentapus."
"Item/Pineapple";"Text";"";"Pineapple@Quenches thirst and soothes hunger.";"Pineapple@Quenches thirst and soothes hunger."
"Item/PinkPike";"Text";"";"Pink Pike@Tier 3. Whoa, pink!";"Pink Pike@Tier 3. Whoa, pink!"
"Item/Plank";"Text";"";"Plank@A simple plank.";"Планка@Звичайна планка."
"Item/Plastic";"Text";"";"Plastic@Yep. It's plastic.";"Plastic@Yep. It's plastic."
"Item/PlasticBottle_Empty";"Text";"";"Empty bottle@Can be filled with lots of water.";"Empty bottle@Can be filled with lots of water."
"Item/PlasticBottle_SaltWater";"Text";"";"Bottle of salt water@Drinking saltwater is not very good. Can be turned into fresh water.";"Bottle of salt water@Drinking saltwater is not very good. Can be turned into fresh water."
"Item/PlasticBottle_Water";"Text";"";"Bottle of fresh water@Fresh water is very important on the ocean.";"Bottle of fresh water@Fresh water is very important on the ocean."
"Item/PlasticCup_Empty";"Text";"";"Empty cup@Can be filled with some water.";"Empty cup@Can be filled with some water."
"Item/PlasticCup_SaltWater";"Text";"";"Cup of salt water@Drinking saltwater is not very good. Can be turned into fresh water.";"Cup of salt water@Drinking saltwater is not very good. Can be turned into fresh water."
"Item/PlasticCup_Water";"Text";"";"Cup of fresh water@Fresh water is very important on the ocean.";"Cup of fresh water@Fresh water is very important on the ocean."
"Item/PoisonPuffer";"Text";"";"Poison-puffer";"Poison-puffer"
"Item/PoisonPufferHead";"Text";"";"Poison-puffer head@Just a Poison-puffer head.";"Poison-puffer head@Just a Poison-puffer head."
"Item/PolarBearHead";"Text";"";"Polar bear head@Looks good on a trophy board.";"Polar bear head@Looks good on a trophy board."
"Item/Pufferlisk";"Text";"";"Pufferlisk@Tier 2. Reminiscent of another seacreature. ";"Pufferlisk@Tier 2. Reminiscent of another seacreature. "
"Item/RainbowLobster";"Text";"";"Rainbow Lobster@Tier 3. Magnificent colors!";"Rainbow Lobster@Tier 3. Magnificent colors!"
"Item/Raw_Beet";"Text";"";"Raw beet@Can be cooked or planted for more beets. Fits in a small crop plot.";"Raw beet@Can be cooked or planted for more beets. Fits in a small crop plot."
"Item/Raw_Catfish";"Text";"";"Raw catfish@One would need a big fire to cook this thing...";"Raw catfish@One would need a big fire to cook this thing..."
"Item/Raw_Drumstick";"Text";"";"Raw drumstick@Apparently these are found on birds.";"Raw drumstick@Apparently these are found on birds."
"Item/Raw_GenericMeat";"Text";"";"Raw meat@Meat tastes better when cooked.";"Raw meat@Meat tastes better when cooked."
"Item/Raw_Herring";"Text";"";"Raw herring@Could be bigger.";"Raw herring@Could be bigger."
"Item/Raw_Mackerel";"Text";"";"Raw mackerel@Fresh from the ocean.";"Raw mackerel@Fresh from the ocean."
"Item/Raw_Pomfret";"Text";"";"Raw pomfret@Why so small?";"Raw pomfret@Why so small?"
"Item/Raw_Potato";"Text";"";"Raw potato@Can be cooked or planted for more potatoes. Fits in a small crop plot.";"Raw potato@Can be cooked or planted for more potatoes. Fits in a small crop plot."
"Item/Raw_Salmon";"Text";"";"Raw salmon@One would need a big fire to cook this thing...";"Raw salmon@One would need a big fire to cook this thing..."
"Item/Raw_Shark";"Text";"";"Raw sharkmeat@It sort of looks like a boomerang.";"Raw sharkmeat@It sort of looks like a boomerang."
"Item/Raw_Tilapia";"Text";"";"Raw tilapia@This thing is funny looking.";"Raw tilapia@This thing is funny looking."
"Item/Recipe_BBQ";"Text";"";"Recipe: BBQ@A recipe that can be cooked in a pot";"Recipe: BBQ@A recipe that can be cooked in a pot"
"Item/Recipe_CatfishDeluxe";"Text";"";"Recipe: Catfish deluxe@A recipe that can be cooked in a pot. Makes you run faster.";"Recipe: Catfish deluxe@A recipe that can be cooked in a pot. Makes you run faster."
"Item/Recipe_CoconutBeat";"Text";"";"Recipe: Coconut beat@A recipe that can be made in a juicer.";"Recipe: Coconut beat@A recipe that can be made in a juicer."
"Item/Recipe_CoconutChicken";"Text";"";"Recipe: Coconut chicken@A recipe that can be cooked in a pot.";"Recipe: Coconut chicken@A recipe that can be cooked in a pot."
"Item/Recipe_DrumstickWithJam";"Text";"";"Recipe: Drumstick with jam@A recipe that can be cooked in a pot.";"Recipe: Drumstick with jam@A recipe that can be cooked in a pot."
"Item/Recipe_FishStew";"Text";"";"Recipe: Fish stew@A recipe that can be cooked in a pot.";"Recipe: Fish stew@A recipe that can be cooked in a pot."
"Item/Recipe_FruitCompot";"Text";"";"Recipe: Fruit compot@A recipe that can be cooked in a pot.";"Recipe: Fruit compot@A recipe that can be cooked in a pot."
"Item/Recipe_HeadBroth";"Text";"";"Recipe: Head broth@A recipe that can be cooked in a pot.";"Recipe: Head broth@A recipe that can be cooked in a pot."
"Item/Recipe_HeartyStew";"Text";"";"Recipe: Hearty stew@A recipe that can be cooked in a pot. A mysterious stew that lets you evade death, once.";"Recipe: Hearty stew@A recipe that can be cooked in a pot. A mysterious stew that lets you evade death, once."
"Item/Recipe_Mangonana";"Text";"";"Recipe: Mangonana@A recipe that can be made in a juicer.";"Recipe: Mangonana@A recipe that can be made in a juicer."
"Item/Recipe_MushroomOmelette";"Text";"";"Recipe: Mushroom omelette@A recipe that can be cooked in a pot.";"Recipe: Mushroom omelette@A recipe that can be cooked in a pot."
"Item/Recipe_RedMelon";"Text";"";"Recipe: Red melon@A recipe that can be made in a juicer.";"Recipe: Red melon@A recipe that can be made in a juicer."
"Item/Recipe_RedbeetShot";"Text";"";"Recipe: Redbeet shot@A recipe that can be made in a juicer. Adds some extra hearts to your life.";"Recipe: Redbeet shot@A recipe that can be made in a juicer. Adds some extra hearts to your life."
"Item/Recipe_SalmonSalad";"Text";"";"Recipe: Salmon salad@A recipe that can be cooked in a pot. A healthy salad that increases your lung capacity.";"Recipe: Salmon salad@A recipe that can be cooked in a pot. A healthy salad that increases your lung capacity."
"Item/Recipe_SharkDinner";"Text";"";"Recipe: Shark dinner@A recipe that can be cooked in a pot.";"Recipe: Shark dinner@A recipe that can be cooked in a pot."
"Item/Recipe_SilverSmoothie";"Text";"";"Recipe: Silver smoothie@A recipe that can be made in a juicer.";"Recipe: Silver smoothie@A recipe that can be made in a juicer."
"Item/Recipe_SimpleFishStew";"Text";"";"Recipe: Simple fish stew@A recipe that can be cooked in a pot.";"Recipe: Simple fish stew@A recipe that can be cooked in a pot."
"Item/Recipe_SimpleSmoothie";"Text";"";"Recipe: Simple smoothie@A recipe that can be made in a juicer.";"Recipe: Simple smoothie@A recipe that can be made in a juicer."
"Item/Recipe_SpicyPineberry";"Text";"";"Recipe: Spicy pineberry@A recipe that can be made in a juicer. Makes you swim faster.";"Recipe: Spicy pineberry@A recipe that can be made in a juicer. Makes you swim faster."
"Item/Recipe_SteakWithJam";"Text";"";"Recipe: Steak with jam@A recipe that can be cooked in a pot";"Recipe: Steak with jam@A recipe that can be cooked in a pot"
"Item/Recipe_StrawberryColada";"Text";"";"Recipe: Strawberry colada@A recipe that can be made in a juicer.";"Recipe: Strawberry colada@A recipe that can be made in a juicer."
"Item/Recipe_Sushi";"Text";"";"Recipe: Sushi@A recipe that can be cooked in a pot";"Recipe: Sushi@A recipe that can be cooked in a pot"
"Item/Recipe_VegetableSoup";"Text";"";"Recipe: Vegetable soup@A recipe that can be cooked in a pot.";"Recipe: Vegetable soup@A recipe that can be cooked in a pot."
"Item/RedMelon";"Text";"";"Red melon@A refreshing drink for a hot summer day.";"Red melon@A refreshing drink for a hot summer day."
"Item/RedbeetShot";"Text";"";"Redbeet shot@Adds some extra hearts to your life.";"Redbeet shot@Adds some extra hearts to your life."
"Item/RhinoSharkTrophy";"Text";"";"Rhino shark trophy@Too big to fit on a trophy board.";"Rhino shark trophy@Too big to fit on a trophy board."
"Item/Rope";"Text";"";"Rope@Could be used to tie a knot. Made from palm leaves.";"Rope@Could be used to tie a knot. Made from palm leaves."
"Item/SalmonSalad";"Text";"";"Salmon salad@A healthy sallad that increases your lung capacity.";"Salmon salad@A healthy sallad that increases your lung capacity."
"Item/Sand";"Text";"";"Sand@Apparently turns into glass when smelted.";"Sand@Apparently turns into glass when smelted."
"Item/Scrap";"Text";"";"Scrap@Some old parts from... something?";"Scrap@Some old parts from... something?"
"Item/Screecher";"Text";"";"Screecher";"Screecher"
"Item/ScreecherHead";"Text";"";"Screecher head@To remember it by.";"Screecher head@To remember it by."
"Item/ScreecherHead_Caravan";"Text";"";"White screecher head@A subspecies of Screechers.";"White screecher head@A subspecies of Screechers."
"Item/SeaVine";"Text";"";"Seaweed@Can be put into a smelter to turn into goo.";"Seaweed@Can be put into a smelter to turn into goo."
"Item/Seagull";"Text";"";"Seagull";"Seagull"
"Item/Seed_Banana";"Text";"";"Banana seed@Add water to get a banana plant. Fits in a large crop plot.";"Banana seed@Add water to get a banana plant. Fits in a large crop plot."
"Item/Seed_Birch";"Text";"";"Birch seed@Add water to get a birch tree. Fits in a large crop plot.";"Birch seed@Add water to get a birch tree. Fits in a large crop plot."
"Item/Seed_Black";"Text";"";"Black seed@Add water to get a flower. Fits in a small crop plot.";"Black seed@Add water to get a flower. Fits in a small crop plot."
"Item/Seed_Blue";"Text";"";"Blue seed@Add water to get a flower. Fits in a small crop plot.";"Blue seed@Add water to get a flower. Fits in a small crop plot."
"Item/Seed_Mango";"Text";"";"Mango seed@Add water to get a mango tree. Fits in a large crop plot.";"Mango seed@Add water to get a mango tree. Fits in a large crop plot."
"Item/Seed_Palm";"Text";"";"Palm seed@Add water to get a palm tree. Fits in a large crop plot.";"Palm seed@Add water to get a palm tree. Fits in a large crop plot."
"Item/Seed_Pine";"Text";"";"Pinecone@Add water to get a pinetree. Fits in a large crop plot.";"Pinecone@Add water to get a pinetree. Fits in a large crop plot."
"Item/Seed_Pineapple";"Text";"";"Pineapple seed@Add water to get a pineapple. Fits in a medium crop plot.";"Pineapple seed@Add water to get a pineapple. Fits in a medium crop plot."
"Item/Seed_Red";"Text";"";"Red seed@Add water to get a flower. Fits in a small crop plot.";"Red seed@Add water to get a flower. Fits in a small crop plot."
"Item/Seed_Strawberry";"Text";"";"Strawberry seed@Add water to get a strawberry. Fits in a small crop plot.";"Strawberry seed@Add water to get a strawberry. Fits in a small crop plot."
"Item/Seed_Watermelon";"Text";"";"Watermelon seed@Add water to get a watermelon. Fits in a medium crop plot.";"Watermelon seed@Add water to get a watermelon. Fits in a medium crop plot."
"Item/Seed_White";"Text";"";"White seed@Add water to get a flower. Fits in a small crop plot.";"White seed@Add water to get a flower. Fits in a small crop plot."
"Item/Seed_Yellow";"Text";"";"Yellow seed@Add water to get a flower. Fits in a small crop plot.";"Yellow seed@Add water to get a flower. Fits in a small crop plot."
"Item/SharkBait";"Text";"";"Shark bait@Keep the shark busy!";"Shark bait@Keep the shark busy!"
"Item/SharkDinner";"Text";"";"Shark dinner@Enough food to feed three people. Can you eat it by yourself?";"Shark dinner@Enough food to feed three people. Can you eat it by yourself?"
"Item/SharkEater";"Text";"";"Sharkeater@Tier 3. Well, Bruce does not seem to mind.";"Sharkeater@Tier 3. Well, Bruce does not seem to mind."
"Item/SharkHead";"Text";"";"Shark head@Where did the rest of the shark go?";"Shark head@Where did the rest of the shark go?"
"Item/SharpCarp";"Text";"";"Sharp Carp@Tier 1. Pointy!";"Sharp Carp@Tier 1. Pointy!"
"Item/Shear";"Text";"";"Shears@Cuts wool extremely well.";"Shears@Cuts wool extremely well."
"Item/Shovel";"Text";"";"Shovel@Useful to obtain dirt.";"Shovel@Useful to obtain dirt."
"Item/Shovel_Titanium";"Text";"";"Titanium shovel@Sturdier than a normal showel.";"Titanium shovel@Sturdier than a normal showel."
"Item/Sign";"Text";"";"Sign@You can write whatever you wish on this.";"Sign@You can write whatever you wish on this."
"Item/SilverAlgae";"Text";"";"Silver algae@Has a quite bitter taste.";"Silver algae@Has a quite bitter taste."
"Item/SilverSmoothie";"Text";"";"Silver smoothie@A healthy drink.";"Silver smoothie@A healthy drink."
"Item/SimpleFishStew";"Text";"";"Simple fish stew@Smells fishy but tastes OK.";"Simple fish stew@Smells fishy but tastes OK."
"Item/SimpleSmoothie";"Text";"";"Simple smoothie@A standard smoothie, but delicious.";"Simple smoothie@A standard smoothie, but delicious."
"Item/Simple_Battery";"Text";"";"Simple Battery@Used to power electrical machines.";"Simple Battery@Used to power electrical machines."
"Item/Spear_Scrap";"Text";"";"Metal Spear@An even greater device for poking things.";"Metal Spear@An even greater device for poking things."
"Item/Spear_Wood";"Text";"";"Wooden spear@A great device for poking things.";"Wooden spear@A great device for poking things."
"Item/SpicyPineberry";"Text";"";"Spicy pineberry@Makes you swim faster.";"Spicy pineberry@Makes you swim faster."
"Item/SteakWithJam";"Text";"";"Steak with jam@A straight forward meal.";"Steak with jam@A straight forward meal."
"Item/Stone";"Text";"";"Stone@Heavy...";"Stone@Heavy..."
"Item/Strawberry";"Text";"";"Strawberry@A great source for vitamin C.";"Strawberry@A great source for vitamin C."
"Item/StrawberryColada";"Text";"";"Strawberry colada@Taste like a relaxing day on the beach.";"Strawberry colada@Taste like a relaxing day on the beach."
"Item/Sushi";"Text";"";"Sushi@Where did the rice come from?";"Sushi@Where did the rice come from?"
"Item/SweepNet";"Text";"";"Sweep net@Useful for catching bugs.";"Sweep net@Useful for catching bugs."
"Item/Sword_Titanium";"Text";"";"Titanium sword@The gratest device for poking and cutting things.";"Titanium sword@The gratest device for poking and cutting things."
"Item/Thatch";"Text";"";"Palm Leaf@Could be useful, maybe for making ropes?";"Palm Leaf@Could be useful, maybe for making ropes?"
"Item/Titanium";"Text";"";"Titanium@";"Titanium@"
"Item/TitaniumIngot";"Text";"";"Titanium ingot@It's sooo heavy.";"Titanium ingot@It's sooo heavy."
"Item/TitaniumOre";"Text";"";"Titanium ore@Can be smelted into titanium ingot.";"Titanium ore@Can be smelted into titanium ingot."
"Item/TitaniumTools";"Text";"";"Titanium tools@";"Titanium tools@"
"Item/TradeToken";"Text";"";"Trade coin@Used as currency at the trading post.";"Trade coin@Used as currency at the trading post."
"Item/TrapSnapper";"Text";"";"Trap Snapper@Tier 2. A toe might go missing if you're not careful.";"Trap Snapper@Tier 2. A toe might go missing if you're not careful."
"Item/TrashCube";"Text";"";"Trash cube@Used as currency at the trading post.";"Trash cube@Used as currency at the trading post."
"Item/TrophyBoard_Large";"Text";"";"Large trophy board@You can place your catch on this!";"Large trophy board@You can place your catch on this!"
"Item/TrophyBoard_Medium";"Text";"";"Medium trophy board@You can place your catch on this!";"Medium trophy board@You can place your catch on this!"
"Item/TrophyBoard_Small";"Text";"";"Small trophy board@You can place your catch on this!";"Small trophy board@You can place your catch on this!"
"Item/Turmeric";"Text";"";"Turmeric@Spice up your food.";"Turmeric@Spice up your food."
"Item/VegetableSoup";"Text";"";"Vegetable soup@A mixture of vegetables to keep you warm.";"Vegetable soup@A mixture of vegetables to keep you warm."
"Item/VineGoo";"Text";"";"Vine goo@A bit like glue.";"Vine goo@A bit like glue."
"Item/Watermelon";"Text";"";"Watermelon@Quenches thirst and soothes hunger.";"Watermelon@Quenches thirst and soothes hunger."
"Item/Wool";"Text";"";"Wool@Wow... it's sooo soft.";"Wool@Wow... it's sooo soft."
"Item/ZiplineTool";"Text";"";"Zipline tool@Equipping it allows you to ride on ziplines.";"Zipline tool@Equipping it allows you to ride on ziplines."
