"Key";"Type";"Desc";"English";"Українська [uk]";"Svenska [sv]";"Français [fr]";"Italiano [it]";"Deutsch [de]";"Español [es]";"Polski [pl]";"Português-Brasil";"中文 [zh-CN]";"日本語 [ja]";"한국어 [ko]";"Pусский [ru]"
"Block/HorizontalHalfPillar_Wood";"Text";;"Horizontal half wooden pillar@Provides support for additional floors.";;"Horisontell halv träpelare@Förser extra våningar med stöd.";"Demi-poteau en bois horizontal@Permet de soutenir les étages supplémentaires.";"Mezzo pilastro in legno orizzontale@Sostiene gli altri piani.";"Horizontale Halbholzsäule@Eine Stütze für zusätzliche Etagen.";"Medio pilar de madera horizontal@Proporciona un soporte para construir pisos adicionales.";"Pół poziomego drewnianego filara@Podpiera wyższe piętra.";"Meia-coluna de madeira horizontal@Suporta andares adicionais.";"水平半高木头柱子@支撑扩建的房层。";"半分の木の柱（水平）@追加フロアの支えとなる。";"반 수평 나무 기둥@추가로 만든 바닥을 지지합니다.";"Половина деревянной балки@Обеспечивает поддержку новых этажей."
"Block/HorizontalPillar_Tier3";"Text";;"Horizontal solid wooden pillar@Provides support for additional floors.";;"Horisontell solid träpelare@Förser extra våningar med stöd.";"Poteau en bois horizontal solide@Permet de soutenir les étages supplémentaires.";"Pilastro in legno solido orizzontale@Sostiene gli altri piani.";"Horizontale Massivholzsäule@Eine Stütze für zusätzliche Etagen.";"Pilar firme de madera@Proporciona un soporte para construir pisos adicionales.";"Poziomy solidny drewniany filar@Podpiera wyższe piętra.";"Coluna sólida de madeira horizontal@Suporta andares adicionais.";"水平牢固木头柱子@支撑扩建的房层。";"強固な木の柱（水平）@追加フロアの支えとなる。";"견고한 수평 나무 기둥@추가로 만든 바닥을 지지합니다.";"Прочная деревянная балка@Обеспечивает поддержку новых этажей."
"Block/HorizontalPillar_Wood";"Text";;"Horizontal wooden pillar@Provides support for additional floors.";;"Horisontell träpelare@Förser extra våningar med stöd.";"Poteau en bois horizontal@Permet de soutenir les étages supplémentaires.";"Pilastro in legno orizzontale@Sostiene gli altri piani.";"Horizontale Holzsäule@Eine Stütze für zusätzliche Etagen.";"Pilar de madera@Proporciona un soporte para construir pisos adicionales.";"Poziomy drewniany filar@Podpiera wyższe piętra.";"Coluna de madeira horizontal@Suporta andares adicionais.";"水平木头柱子@支撑扩建的房层。";"木の柱（水平）@追加フロアの支えとなる。";"수평 나무 기둥@추가로 만든 바닥을 지지합니다.";"Деревянная балка@Обеспечивает поддержку новых этажей."
"Block/ItemNet";"Text";;"Simple collection net@Automatically catches items that float into it.";;"Simpelt uppsamlingsnät@Fångar automatiskt saker som flyter in i det.";"Filet de récupération@Récupère automatiquement les objets qui dérivent vers lui.";"Retino@Prende tutto quello che ci finisce dentro.";"Sammelnetz@Fängt automatisch Objekte ab, die hineinschwimmen.";"Salabre@Atrapa cualquier objeto que flote hacia él de forma automática.";"Sieć@Automatycznie łapie wszystkie przedmioty, które w nią wpadną.";"Rede de pesca@Automaticamente pega peixes que passam nela.";"收集网@自动抓取漂过来的物品。";"回収ネット@浮いているアイテムを自動的にその中へ集めます。";"포획 그물@안에 아이템이 들어가면 자동으로 잡습니다.";"Сеть-ловушка@Автоматически ловит предметы, которые в нее заплывают."
"Block/ItemNet_Two";"Text";;"Advanced collection net@Automatically catches items that float into it. Can contain more items then a simlpe collection net.";;"Avancerat uppsamlingsnät@Fångar automatiskt saker som flyter in i det. Kan fånga mer saker än ett simpelt uppsamlingsnät.";;;;;;;;;;
"Block/Juicer";"Text";;"Juicer@Combines base food into amazing drinks.";;"Juicepress@Kombinerar ingredienser till fantastiska drycker.";"Centrifugeuse@Permet de faire de délicieuses boissons à partir de produits de base.";"Spremitore@Crea squisite bevande con gli ingredienti di base.";"Entsafter@Kombiniert Grundnahrungsmittel zu fantastischen Getränken.";"Exprimidor@Combina comida simple para crear bebidas espectaculares.";"Sokowirówka@Pozwala z podstawowych składników tworzyć wspaniałe napoje.";"Extrator de suco@Faz bebidas incríveis com alimentos básicos.";"榨汁机@将基础食物合成为美味饮品。";"ジューサー@食材を素晴らしいドリンクに変えてくれる。";"주스기@기본 음식과 결합하여 엄청난 음료수를 만들어냅니다.";"Соковыжималка@Можно делать вкусные коктейли из базовых ингредиентов."
"Block/Ladder";"Text";;"Ladder@A good way to go up and down.";;"Stege@Ett bra sätt att gå mellan våningar på.";"Échelle@Pratique pour monter et descendre.";"Scala@Un ottimo modo per salire e scendere.";"Leiter@Ein guter Weg nach oben und unten.";"Escalera@Un buen objeto para subir o bajar de los sitios.";"Drabina@Można po niej wygodnie wchodzić i schodzić.";"Escada@Um bom jeito de subir e descer.";"梯子@上下楼的好选择。";"はしご@上り下りに良いです。";"사다리@위아래로 올라갈 때 유용합니다.";"Стремянка@Удобно подниматься и спускаться."
"Block/Ladder_Half";"Text";;"Half ladder@A good way to go up and down.";;"Halvstege@Ett bra sätt att gå mellan våningar på.";"Demi-échelle@Pratique pour monter et descendre.";"Mezza scala@Un ottimo modo per salire e scendere.";"Halbe Leiter@Ein guter Weg, um auf- und abzugehen.";"Media escalera@Una buena manera de subir y bajar.";"Pół drabiny@Można po niej wygodnie wchodzić i schodzić.";"Meia-escada@Um bom jeito de subir e descer.";"半高梯子@上下楼的好选择。";"半分のはしご@上り下りに最適。";"반 사다리@위아래로 이동할 때 필요합니다.";"Половина стремянки@Удобно подниматься и спускаться."
"Block/Ladder_Tier3";"Text";;"Solid ladder@A good way to go up and down.";;"Solid stege@Ett bra sätt att gå mellan våningar på.";"Échelle en bois solide@Pratique pour monter et descendre.";"Scala in legno solida@Un ottimo modo per salire e scendere.";"Stabile Holzleiter@Ein guter Weg nach oben und unten.";"Escalera firme de madera@Una buena manera de subir y bajar.";"Solidna drewniana drabina@Można po niej wygodnie wchodzić i schodzić.";"Escada sólida de madeira@Um bom jeito de subir e descer.";"牢固木制梯子@上下楼的好选择。";"しっかりした木のはしご@上り下りに良いです。";"견고한 나무 사다리@위아래로 이동할 때 필요합니다.";"Прочная деревянная стремянка@Удобно подниматься и спускаться."
"Block/Ladder_Tier3_Half";"Text";;"Solid half ladder@A good way to go up and down.";;"Solid halvstege@Ett bra sätt att gå mellan våningar på.";"Demi-échelle solide@Pratique pour monter et descendre.";"Mezza scala solida@Un ottimo modo per salire e scendere.";"Massive halbe Leiter@Ein guter Weg, um auf- und abzugehen.";"Media escalera firme@Una buena manera de subir y bajar.";"Pół solidnej drabiny@Można po niej wygodnie wchodzić i schodzić.";"Meia-escada sólida@Um bom jeito de subir e descer.";"牢固半高梯子@上下楼的好选择。";"半分の強固なはしご@上り下りに最適。";"반 견고한 사다리@위아래로 이동할 때 필요합니다.";"Половина прочной стремянки@Удобно подниматься и спускаться."
"Block/Lantern";"Text";;"Lantern@Lights up the dark.";;"Lykta@Lyser upp i mörkret.";"Lanterne@Permet de vous éclairer.";"Lanterna@Una luce nel buio.";"Laterne@Beleuchtung im Dunkeln.";"Farol@Alumbra en la oscuridad.";"Latarnia@Rozświetla mrok.";"Lanterna@Ilumina a escuridão.";"灯笼@照亮黑夜。";"ランタン@暗闇を照らします。";"손전등@어둠을 밝힙니다.";"Фонарь@Светит в темноте."
"Block/Lantern_Metal";"Text";;"Metal lantern@Lights up the dark.";;"Metallykta@Lyser upp i mörkret";"Lanterne en métal@Permet de vous éclairer.";"Lanterna in metallo@Una luce nel buio.";"Metalllaterne@Beleuchtung im Dunkeln.";"Farol de metal@Ilumina la oscuridad.";"Metalowa latarnia@Rozświetla mrok.";"Lanterna de metal@Ilumina a escuridão.";"金属灯笼@照亮黑夜。";"金属製たいまつ@暗闇を照らします。";"금속 랜턴@어둠을 밝힙니다.";"Металлический фонарь@Светит в темноте."
"Block/MajorTom";"Text";;"Major Tom@Not the best astronaut, but not the worst.";;"Major Tom@Inte den bästa astronauten, men inte heller den sämsta.";"Major Tom@Ce n'est pas le meilleur des astronautes, mais ce n'est pas le pire non plus.";"Maggiore Tom@Non è l’astronauta migliore del mondo, ma nemmeno il peggiore.";"Major Tom@Nicht der beste Astronaut, aber auch nicht der schlechteste.";"Mayor Tom@No es el mejor astronauta del mundo, pero tampoco es el peor.";"Major Tom@Nie najlepszy astronauta, ale i nie najgorszy.";"Major Tom@Não é o melhor astronauta, mas também não é o pior.";"汤姆少校@称不上最好的宇航员，但也不是最差的。";"トム少佐@宇宙飛行士としての腕はそこそこ。";"시장 톰@최고의 우주비행사는 아니지만, 최악도 아닙니다.";"Майор Том@Не лучший астронавт. Но и не худший."
"Block/MotivationalQuote";"Text";;"Motivational quote@Teasingly perfect...";;"Motiverande citat@Retsamt perfekt...";"Citation inspirante@Presque trop parfaite...";"Frase motivazionale@A dir poco perfetta...";"Motivationsspruch@Neckend perfekt …";"Frase motivadora@Es tan perfecta que da hasta grima...";"Cytat motywacyjny@Przekornie doskonały…";"Palavra motivacional@Provocantemente perfeito…";"励志名言@完美但令人心烦……";"やる気を奮い立たせる言葉@暑苦しいが非の打ち所がない…";"격려되는 구절@신기하게 완벽합니다...";"Мотивационная цитата@Раздражающе точная…"
"Block/MotorWheel";"Text";;"Engine@Allows you to go in different directions and increases your speed.";;"Motor@Tillåter dig att åka i olika riktiningar samt ökar din hastighet.";"Moteur@Permet d'aller dans plusieurs directions et augmente la vitesse.";"Motore@Ti permette di spostarti in varie direzioni e aumenta la velocità.";"Motor@Ermöglicht es dir, in verschiedene Richtungen zu gehen und erhöht deine Geschwindigkeit.";"Motor@Te permite ir en diferentes direcciones y aumenta tu velocidad.";"Silnik@Pozwala zmieniać kierunek i zwiększać prędkość.";"Motor@Permite que você avance em diferentes direções e aumenta a velocidade.";"引擎@让你能向各个方向前进，并增加木筏的速度。";"エンジン@異なる方向に進めるようになります。また、加速が可能になります。";"엔진@다른 방향으로 이동하고 속도를 높이게 해줍니다.";"Мотор@Позволяет двигаться в различных направлениях и увеличивает скорость."
"Block/Mug";"Text";;"Mug@Useful for all beverages.";;"Mugg@Bra för alla sorters drycker.";"Tasse@Utile pour tout type de boisson.";"Tazza@Utile per bere qualsiasi bevanda.";"Becher@Für alle möglichen Getränke geeignet.";"Jarra@Para cualquier tipo de bebida.";"Kubek@Przydaje się do wszelkich napojów.";"Caneca@Para todas as bebidas.";"马克杯@适合各种饮品。";"マグカップ@様々な飲み物を飲むのに適しています。";"머그잔@모든 음료에 유용합니다.";"Кружка@Подходит для любого напитка."
"Block/OpenBook";"Text";;"Open book@An open book for anyone to read.";;"Öppen bok@En öppen bok som alla kan läsa";"Livre ouvert@Un livre ouvert prêt à être lu.";"Libro aperto@Un libro aperto per essere letto da tutti.";"Offenes Buch@Ein offenes Buch. Jeder kann darin lesen.";"Libro abierto@Un libro abierto para que cualquiera pueda leerlo.";"Otwarta książka@Otwarta książka zachęca do czytania.";"Livro aberto@Um livro aberto para quem quiser ler.";"打开的书@一本打开的书，谁都可以读。";"開いた本@誰でも読めるように開いています。";"열린 책@누구나 읽을 수 있는 책입니다.";"Открытая книга@Кто угодно может ее прочитать."
"Block/Outhouse";"Text";;"Outhouse@Not as smelly as one would think.";;"Utedass@Stinker inte så mycket som man kan tro.";"Toilettes extérieures@Ça ne sent pas si mauvais que ça.";"Latrina@Meno puzzolente di quanto ci si aspetti.";"Plumpsklo@Riecht weniger streng als erwartet.";"Letrina@No huele tan mal como parece.";"Wychodek@Nie taki śmierdzący, jak by się wydawało.";"Banheiro externo@Não cheira tão mal quanto se pensa.";"屋外厕所@也没有想象中的那么臭。";"屋外トイレ@意外にもそれほど臭いません。";"변소@생각보다 냄새가 심하지 않아요.";"Деревенский туалет@Пахнет не так сильно, как могло бы показаться."
"Block/PaintMill";"Text";;"Paint mill@Used to turn flowers into paint. Uses water energy to work.";;"Färgmaskin@Används för att omvandla blommor till färg. Använder vattencraft för att drivas.";"Atelier de peinture@Permet de faire des couleurs à base de fleurs. Fonctionne à l'énergie hydraulique.";"Macchina per il colore@Trasforma i fiori in colori. Funziona grazie all'energia dell'acqua.";"Farbmühle@Wird benutzt, um Blumen in Farbe zu verwandeln. Arbeitet mit Wasserenergie.";"Molino de pintura@Sirve para transformar las flores en color. Usa la energía cinética del agua para funcionar.";"Młyn do farb@Wytwarza barwniki z kwiatów. Jest napędzany wodą.";"Moinho de tinta@Transforme flores em cores. Precisa de energia hidrelétrica para funcionar.";"涂料厂@把花朵加工成涂料。水动能。";"塗料ミル@花をカラーに変えるのに使います。使用するとウォーターエナジーを消費します。";"페인트 밀@꽃을 색으로 바꿀 때 사용합니다. 물 에너지도 작동합니다.";"Краскотерка@Перетирает цветы для получения краски. Работает на энергии воды."
"Block/Painting";"Text";;"Painting@A decorative piece.";;"Tavla@Ett dekorativ verk.";"Peinture@Un objet décoratif.";"Dipinto@Un elemento decorativo.";"Malerei@Sehr dekorativ.";"Cuadro@Un elemento decorativo.";"Obraz@Dla dekoracji.";"Pintura@Uma peça decorativa.";"绘画@装饰用摆件。";"絵画@装飾用。";"그림@장식용입니다.";"Картина@Приятное украшение."
"Block/Painting_Tangaroa";"Text";;"Tangaroa painting@A painting from Tangaroa.";;"Tangaroa-tavla@En tavla från Tangaroa.";"Peinture de Tangaroa@Une peinture de Tangaroa.";"Dipinto di Tangaroa@Un dipinto da Tangaroa.";"Tangaroa-Malerei@Eine Malerei aus Tangaroa.";"Cuadro de Tangaroa@Cuadro proveniente de Tangaroa.";"Obraz z Tangaroa@Obraz z Tangaroa.";"Pintura de Tangaroa@Uma pintura de Tangaroa.";"唐加罗瓦绘画@来自唐加罗瓦的绘画。";"タンガロアの絵画@タンガロアで描かれた絵画。";"탄가로아 그림@탄가로아산 그림입니다.";"Картина с Тангароа@Картина, написанная кем-то с Тангароа."
"Block/PaperBundle";"Text";;"Paper bundle@Rough, stiff and boring.";;"Pappershög@Sträv, stel och tråkig";"Pile de feuilles@Rêche, rigide et ennuyeuse.";"Pila di fogli@Ruvida, rigida e noiosa.";"Papierstapel@Rau, steif und langweilig.";"Paquete de papel@Tosco, rígido y aburrido.";"Stos papieru@Szorstki, sztywny i nudny.";"Pilha de papel@Dura, grosseira e entediante.";"纸捆@毛糙、生硬又无聊。";"紙の束@ごわごわ硬くて物足りません。";"종이 묶음@거칠고, 딱딱하고, 지루해요.";"Стопка бумаги@Грубая, твердая и скучная."
"Block/Piano";"Text";;"Piano@Become a real beet-hoven.";;"Piano@Bli en äkta beet-hoven.";"Piano@Devenez un véritable beet-hoven.";"Pianoforte@Trasformati in un vero barbabiet-hoven.";"Piano@Werde der nächste Beet-Hoven.";"Piano@Siéntete como Beethoven (obviando su sordera).";"Pianino@Zostań prawdziwym Beet-hovenem.";"Piano@Torne-se um verdadeiro Beet-hoven.";"钢琴@成为真正的钢琴大师吧。";"ピアノ@海上のピアニストになりましょう。";"피아노@베토벤이 울고 갈 실력을 보여주세요.";"Пианино@Станьте новым Вольфгангом Амадеем Плотцартом."
"Block/Pillar_Tier3";"Text";;"Solid wooden pillar@Provides support for additional floors.";;"Solid träpelare@Förser extra våningar med stöd.";"Poteau en bois solide@Permet de soutenir les étages supplémentaires.";"Pilastro in legno solido@Sostiene gli altri piani.";"Stabile Holzsäule@Eine Stütze für zusätzliche Etagen.";"Pilar firme de madera@Proporciona un soporte para construir pisos adicionales.";"Solidny drewniany filar@Podpiera wyższe piętra.";"Coluna sólida de madeira@Pode apoiar andares adicionais.";"牢固木头柱子@支撑扩建的房层。";"しっかりした木の柱@追加のフロアを支えます。";"견고한 나무 기둥@추가로 만든 바닥을 지지합니다.";"Прочная деревянная колонна@Обеспечивает поддержку новых этажей."
"Block/Pillar_Wood";"Text";;"Wooden pillar@Provides support for additional floors.";;"Träpelare@Förser extra våningar med stöd.";"Poteau en bois@Permet de soutenir les étages supplémentaires.";"Pilastro in legno@Sostiene gli altri piani.";"Holzsäule@Eine Stütze für zusätzliche Etagen.";"Pilar de madera@Sirve de apoyo cuando se construyen pisos adicionales.";"Drewniany filar@Podpiera wyższe piętra.";"Coluna de madeira@Pode apoiar andares adicionais.";"木头柱子@支撑扩建的房层。";"木の柱@追加のフロアを支えます。";"나무 기둥@추가로 만든 바닥을 지지합니다.";"Деревянная колонна@Обеспечивает поддержку новых этажей."
"Block/Pipe_Fuel";"Text";;"Fuel pipe@Useful for transporting biofuel between different machines.";;"Bränslerör@Användbara för att transportera biobränsle mellan olika maskiner.";"Tuyau à carburant@Utile pour transporter du biocarburant entre différentes machines.";"Tubo del carburante@Utile per trasportare il biocarburante da un macchinario all’altro.";"Treibstoffrohr@Nützlich, um Biotreibstoff zwischen verschiedenen Maschinen zu transportieren.";"Tubería de combustible@Útil para transportar biocombustible entre distintas máquinas.";"Przewód paliwowy@Przydaje się do transportu biopaliwa między różnymi maszynami.";"Tubo de combustível@Útil para transportar biocombustível entre máquinas diferentes.";"燃油管@用于在两台不同机器间输送生物燃料。";"燃料パイプ@機械から機械へバイオ燃料を移すのに便利です。";"연료 파이프@생물 연료를 여러 기계 사이에서 옮길 때 유용합니다.";"Топливная труба@Позволяет перегонять топливо между различными машинами."
"Block/Pipe_Water";"Text";;"Water pipe@Useful for transporting water between different machines.";;"Vattenrör@Användbara för att transportera vatten mellan olika maskiner.";"Tuyau à eau@Utile pour transporter de l'eau entre différentes machines.";"Tubo dell’acqua@Utile per trasportare l’acqua da un macchinario all’altro.";"Wasserrohr@Nützlich, um Wasser zwischen verschiedenen Maschinen zu transportieren.";"Tubería de agua@Útil para transportar agua entre distintas máquinas.";"Wodociąg@Przydaje się do transportu wody między różnymi maszynami.";"Tubo hídrico@Útil para transportar água entre máquinas diferentes.";"水管@用于在两台不同机器间输送水。";"水パイプ@機械から機械へ水を移すのに便利です。";"물 파이프@물을 여러 기계 사이에서 옮길 때 유용합니다.";"Водопроводная труба@Позволяет перегонять воду между различными машинами."
"Block/Plushie";"Text";;"Plushie@Soft and adorable!";;"Gosedjur@Mjuk och alldeles underbar";"Peluche@Toute douce et adorable !";"Peluche@Morbidoso e adorabile!";"Plüschtier@Weich und niedlich!";"Peluche@¡Blandito y adorable!";"Pluszak@Miękki i uroczy!";"Pelúcia@Macia e adorável!";"毛绒玩具@柔软又可爱！";"ぬいぐるみ@もこもこで可愛い！";"인형@부드럽고 사랑스러워요!";"Плюшевая игрушка@Мягкая и очаровательная!"
"Block/Quill";"Text";;"Quill@The feather is sooo soft.";;"Fjäderpenna@Fjädern är såååå mjuk.";"Plume d'oie@Elle est siii douce.";"Penna@La piuma è incredibilmente soffice.";"Federkiel@Die Feder ist sooo weich.";"Pluma@Es taaan suave...";"Piórko@Bardzo delikatne pióro.";"Pena@Ela é tão macia.";"羽毛笔@这羽毛好柔软啊。";"羽根ペン@とってもやわらかい羽根です。";"깃@깃털이 정말 부드럽습니다.";"Перо@Такое мягкое!"
"Block/RBPainting_Andre";"Text";;"Man And Moon@A remnant of a mysterious collective.";;"Man And Moon@En spillra från ett gåtfullt kollektiv.";"Homme et Lune@Vestige d'un groupe mystérieux.";"L’uomo e la luna@Una testimonianza di una misteriosa società.";"Mann und Mond@Ein Überbleibsel eines mysteriösen Kollektivs.";"El hombre y la Luna@Un recuerdo de una sociedad secreta.";"Man and Moon@Pozostałość po tajemniczym kolektywie.";"Homem e Lua@Resquício de uma coleção misteriosa.";"人与月@一个残存的神秘收藏品。";"男と月@謎めいた集団が残していったもの。";"사람과 달@신비로운 수집 아이템의 일부분입니다.";"«Человек и Луна»@Напоминание о загадочной общине."
"Block/RBPainting_Ellen";"Text";;"The Pot@A remnant of a mysterious collective.";;"The Pot@En spillra från ett gåtfullt kollektiv.";"La Marmite@Vestige d'un groupe mystérieux.";"Il vaso@Una testimonianza di una misteriosa società.";"Der Pott@Ein Überbleibsel eines mysteriösen Kollektivs.";"La cacerola@Un recuerdo de una sociedad secreta.";"The Pot@Pozostałość po tajemniczym kolektywie.";"O Vaso@Resquício de uma coleção misteriosa.";"罐子@一个残存的神秘收藏品。";"植木鉢@謎めいた集団が残していったもの。";"냄비@신비로운 수집 아이템의 일부분입니다.";"«Кувшин»@Напоминание о загадочной общине."
"Block/RBPainting_Felicia";"Text";;"After The Rain@A remnant of a mysterious collective.";;"After The Rain@En spillra från ett gåtfullt kollektiv.";"Après la Pluie@Vestige d'un groupe mystérieux.";"Dopo la pioggia@Una testimonianza di una misteriosa società.";"Nach dem Regen@Ein Überbleibsel eines mysteriösen Kollektivs.";"Tras la lluvia@Un recuerdo de una sociedad secreta.";"After the Rain@Pozostałość po tajemniczym kolektywie.";"Depois da Chuva@Resquício de uma coleção misteriosa.";"雨后@一个残存的神秘收藏品。";"雨の後で@謎めいた集団が残していったもの。";"비 온 뒤@신비로운 수집 아이템의 일부분입니다.";"«После дождя»@Напоминание о загадочной общине."
"Block/RBPainting_Gabriel";"Text";;"Octohenge@A remnant of a mysterious collective.";;"Octohenge@En spillra från ett gåtfullt kollektiv.";"Octohenge@Vestige d'un groupe mystérieux.";"Octohenge@Una testimonianza di una misteriosa società.";"Octohenge@Ein Überbleibsel eines mysteriösen Kollektivs.";"Octohenge@Un recuerdo de una sociedad secreta.";"Octohenge@Pozostałość po tajemniczym kolektywie.";"Octohenge@Resquício de uma coleção misteriosa.";"石圈@一个残存的神秘收藏品。";"オクトヘンジ@謎めいた集団が残していったもの。";"옥토헨지@신비로운 수집 아이템의 일부분입니다.";"«Октохендж»@Напоминание о загадочной общине."
"Block/RBPainting_Illayda";"Text";;"Neighbors Dog @A remnant of a mysterious collective.";;"Neighbors Dog @En spillra från ett gåtfullt kollektiv.";"Le Chien des Voisins@Vestige d'un groupe mystérieux.";"Il cane dei vicini@Una testimonianza di una misteriosa società.";"Nachbarshund@Ein Überbleibsel eines mysteriösen Kollektivs.";"El perro de los vecinos@Un recuerdo de una sociedad secreta.";"Neighbors Dog@Pozostałość po tajemniczym kolektywie.";"Cachorro do Vizinho@Resquício de uma coleção misteriosa.";"邻家小狗@一个残存的神秘收藏品。";"隣人犬@謎めいた集団が残していったもの。";"이웃집 개@신비로운 수집 아이템의 일부분입니다.";"«Соседский пес»@Напоминание о загадочной общине."
"Block/RBPainting_Petter";"Text";;"Real Self Portrait@A remnant of a mysterious collective.";;"Real Self Portrait@En spillra från ett gåtfullt kollektiv.";"Véritable Autoportrait@Vestige d'un groupe mystérieux.";"Autoritratto fedele@Una testimonianza di una misteriosa società.";"Echtes Selbstportrait@Ein Überbleibsel eines mysteriösen Kollektivs.";"Autorretrato de verdad@Un recuerdo de una sociedad secreta.";"Real Self Portrait@Pozostałość po tajemniczym kolektywie.";"Autorretrato Real@Resquício de uma coleção misteriosa.";"真实自画像@一个残存的神秘收藏品。";"真の自撮り@謎めいた集団が残していったもの。";"진정한 자화상@신비로운 수집 아이템의 일부분입니다.";"«Реалистичный автопортрет»@Напоминание о загадочной общине."
"Block/RBPainting_Semih";"Text";;"What Even Is?@A remnant of a mysterious collective.";;"What Even Is?@En spillra från ett gåtfullt kollektiv.";"Le Sens de la Vie@Vestige d'un groupe mystérieux.";"Cosa sarebbe?@Una testimonianza di una misteriosa società.";"Was ist überhaupt?@Ein Überbleibsel eines mysteriösen Kollektivs.";"¿Y esto qué es?@Un recuerdo de una sociedad secreta.";"What Even Is?@Pozostałość po tajemniczym kolektywie.";"O que É Isso?@Resquício de uma coleção misteriosa.";"偶数是什么？@一个残存的神秘收藏品。";"一体なんなんだ？@謎めいた集団が残していったもの。";"도대체 무엇?@신비로운 수집 아이템의 일부분입니다.";"«Что это такое?»@Напоминание о загадочной общине."
"Block/RBPainting_William";"Text";;"Foul Fogs@A remnant of a mysterious collective.";;"Foul Fogs@En spillra från ett gåtfullt kollektiv.";"Ignobles Brumes@Vestige d'un groupe mystérieux.";"Rane ripugnanti@Una testimonianza di una misteriosa società.";"Faule Nebel@Ein Überbleibsel eines mysteriösen Kollektivs.";"Nieblas aciagas@Un recuerdo de una sociedad secreta.";"Foul Fogs@Pozostałość po tajemniczym kolektywie.";"Neblinas Maléficas@Resquício de uma coleção misteriosa.";"污雾@一个残存的神秘收藏品。";"汚れた霧@謎めいた集団が残していったもの。";"고약한 개구리@신비로운 수집 아이템의 일부분입니다.";"«Едкий туман»@Напоминание о загадочной общине."
"Block/Radio";"Text";;"Radio@Unsure if it is functional.";;"Radio@Osäker på om den är funktionell.";"Radio@Il n'est pas certain qu'elle fonctionne.";"Radio@Non si sa se funziona.";"Funkgerät@Unsicher, ob es funktioniert.";"Radio@No sé si funciona.";"Radio@Trudno powiedzieć, czy działa.";"Rádio@Talvez esteja quebrado.";"收音机@不知道还能不能用。";"無線@使えるかどうかはわかりません。";"라디오@아직 작동하는지 모르겠네요.";"Радио@Непонятно, работает ли оно."
"Block/Reciever";"Text";;"Receiver@Used to locate nearby radio signals.";;"Mottagare@Används för att lokalisera närliggande radiosignaler.";"Récepteur@Permet de capter les signaux radio proches.";"Ricevitore@Utile per localizzare i segnali radio vicini.";"Empfänger@Nötig zum Auffinden von Funksignalen in der Nähe.";"Receptor@Sirve para localizar las señales de radio que haya cerca.";"Odbiornik@Odbiera pobliskie sygnały radiowe.";"Receptor@Localiza sinais de rádio próximos.";"接收器@用于定位附近的无线电信号。";"レシーバー@近くのラジオシグナルを探知します。";"수신기@근처 무선 신호를 찾을 때 사용합니다.";"Приемник@Ловит радиосигналы."
"Block/Recycler";"Text";;"Recycler@Combines basic resources into trading post currency.";;"Återvinningsmaskin@Kombinerar material för betalning hos handelsboden.";"Recycleur@Recycle des ressources basiques en monnaie pour le comptoir d'échange.";"Riciclatore@Converte le risorse di base in valuta per il punto di scambio.";"Recycler@Kombiniert grundlegende Ressourcen zu Handelspostenwährung.";"Reciclador@Combina recursos básicos para crear monedas de cambio para el puesto comercial.";"Urządzenie do recyklingu@Łączy podstawowe zasoby w walutę do użycia w punkcie handlowym.";"Reciclador@Transforma recursos básicos em moeda corrente para o posto comercial.";"回收器@将基础资源合成为交易站的货币。";"リサイクラー@基本資源を交易所の通貨に変換する。";"재활용기@기본 자원과 결합하여 교역소 화폐로 바꿉니다.";"Устройство для переработки@Перерабатывает базовые ресурсы в валюту торговых баз."
"Block/Repair";"Text";;"Repair@Repair damaged building parts.";;"Reparera@Reparera skadade byggdelar.";"Réparer@Pour réparer des pièces endommagées.";"Ripara@Ripara gli oggetti da costruzione danneggiati.";"Reparieren@Repariere beschädigte Bauteile.";"Reparar@En este modo, puedes reparar zonas dañadas.";"Napraw@Napraw uszkodzone fragmenty konstrukcji.";"Consertar@Conserte materiais danificados.";"修理@修理建筑受损的部分。";"修理@壊れた所を修理します。";"수리@손상된 건물 부품을 수리합니다.";"Ремонт@Ремонт поврежденных частей постройки."
"Block/ResearchTable";"Text";;"Research table@Used to research new items to craft.";;"Forskarbord@Används för att upptäcka nya saker att tillverka.";"Établi@Permet d'étudier de nouveaux objets à fabriquer.";"Tavolo di ricerca@Usato per ricercare nuovi oggetti da creare.";"Forschungstisch@Nötig, um neue Gegenstände zu erforschen.";"Mesa de investigación@Sirve para investigar nuevos objetos que elaborar.";"Stół badawczy@Wykorzystywany do opracowywania metod tworzenia nowych przedmiotów.";"Mesa de pesquisa@Utilizada na pesquisa de novos itens para criar.";"研究桌@研究如何利用新物品制造其他东西。";"リサーチテーブル@物づくりをする新しいアイテムを調べるのに使います。";"연구용 탁자@제작할 새 아이템을 연구하는 데 사용됩니다.";"Рабочий стол@На нем можно изучать новые предметы для изготовления."
